nombre,id,idYTMusic,colaboracion,subscriptores,views
Quevedo,0,UC7PL9aor5qNRhvhWWVXyOqA,"['Myke Towers', 'Bizarrap', 'Ovy On The Drums', 'Mora', 'Linton', 'Bad Gyal', 'Mora', 'Polima Westcoast', 'Bizarrap', 'De La Ghetto', 'Duki']",1.16M,"352,882,573 views"
Arcangel,1,UCVcAt8IIKIeubRSigcYXgtA,"['Bad Bunny', 'Sech']",10.8M,"4,902,078,434 views"
Farruko,2,UC6QXZsAOOweLfhVPbqMyG4g,"['Omar Montes', 'Rauw Alejandro', 'Natti Natasha', 'Justin Quiles', 'Sean Paul', 'Nicky Jam', 'Amenazzy', 'Don Omar', 'Myke Towers', 'Rvssian', 'J Balvin', 'Rauw Alejandro', 'Anuel AA', 'Zumbi', 'Rauw Alejandro', 'KEVVO', 'Chencho Corleone', 'Natti Natasha', 'Justin Quiles', 'Nicky Jam', 'Amenazzy', 'Rauw Alejandro', 'Nicky Jam', 'Amenazzy', 'Rvssian', 'J Balvin', 'Nicky Jam', 'Amenazzy', 'Lenier']",18.4M,"8,995,815,607 views"
Belinda,3,UC8tw8d2POmc3Lt8t1bmgl9Q,"['Ana Mena', 'Ana Mena', 'Los Ángeles Azules', 'Lalo Ebratt']",872K,"355,233,585 views"
Aitana,4,UCkyzcFsGWVYSUGaR7YB9OYQ,['Sangiovanni'],2.16M,No info
Abraham Mateo,5,UCql3y41dHUh9JoPHMedvCbQ,['Ana Mena'],4.63M,"1,830,841,105 views"
Melendi,6,UCl4jq8XKq5X0ZL5p_xVMmZA,['India Martínez'],4.43M,"3,798,280,676 views"
Rauw Alejandro,7,UCw_m17sBd4GHxuK83-AZtuA,"['Baby Rasta', 'Lyanno', 'Brray', 'Baby Rasta', 'Lyanno', 'Brray', 'Chencho Corleone', 'Chencho Corleone', 'Mr. NaisGai', 'Lyanno', 'Brray', 'Chencho Corleone', 'Baby Rasta', 'Lyanno', 'Brray', 'Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone']",12.4M,"10,369,697,517 views"
Shakira,8,UCo6JijJGA3IvIiPsawDK3Ww,"['Ozuna', 'Rauw Alejandro', 'Ozuna', 'Ozuna', 'Rauw Alejandro', 'Anuel AA', 'Pedro Capó', 'Camilo', 'Maluma', 'Ozuna', 'Ozuna']",39.7M,"25,305,164,805 views"
Ptazeta,9,UCI9q5A6SUN37p0gM01E1R4Q,"['Emilia', 'Aitana', 'Emilia', 'Aitana', 'Emilia', 'Aitana']",383K,No info
KAROL G,10,UC7n3gWRN0vQzgiOKc51aZ4w,"['Maldy', 'Ovy On The Drums', 'Maldy', 'Maldy', 'Nicki Minaj', 'Anuel AA', 'Feid', 'Maldy', 'Anuel AA', 'Daddy Yankee', 'Anuel AA', 'Ovy On The Drums', 'Maldy', 'Feid', 'Nicki Minaj', 'Simone & Simaria', 'Anuel AA', 'Daddy Yankee', 'Nicki Minaj', 'Anuel AA', 'Mariah Angeliq ', 'Feid', 'Nicki Minaj', 'Anuel AA', 'Daddy Yankee', 'Anuel AA', 'Anuel AA', 'Daddy Yankee', 'Anuel AA', 'Anuel AA']",28.9M,"15,607,051,800 views"
Bizarrap,11,UCONiUl5u7y2bMaVZJcuRDEQ,['Duki'],17.2M,"5,954,141,988 views"
